,inchi_key
0,NJDNNGVASRCMGO-UHFFFAOYSA-N
1,YFFLLDHEEWSHQG-UHFFFAOYSA-N
2,UDSMGBFZINTRJJ-UHFFFAOYSA-N
3,BZMONWQIRAEEQP-UHFFFAOYSA-N
4,UPLWGKHHFUSAPZ-UHFFFAOYSA-N
5,MOSHQQPJHRYIHH-UHFFFAOYSA-N
6,KUTSDQXCUSBQMZ-UHFFFAOYSA-N
7,KZMBWDGCFLVNTQ-UHFFFAOYSA-N
8,FSPACQZXEUPYQX-UHFFFAOYSA-N
9,YGCOFXRMEAUBGS-UHFFFAOYSA-N
10,FYJKDYLAFIGKIX-UHFFFAOYSA-N
11,KTSDIDZVUGFNJP-UHFFFAOYSA-N
12,NEYGIAFEBKQUCZ-UHFFFAOYSA-N
13,SWBDUXDIPMGDNO-UHFFFAOYSA-N
14,OOPOJJXDWOUUBZ-UHFFFAOYSA-N
15,AYEVELLBDURPJW-UHFFFAOYSA-N
16,ZIJKMTOQZPLJFE-UHFFFAOYSA-N
17,KCWXCKLNUUZURF-UHFFFAOYSA-N
18,BCONCMOUSFKNCK-NWDGAFQWSA-N
19,KSLYTDFPWYHKCZ-UHFFFAOYSA-N
20,YHEGUULWFOVVRG-UHFFFAOYSA-N
21,JRIHJUPSXFNABV-UHFFFAOYSA-N
22,GFUFUJMSZWBPNH-UHFFFAOYSA-N
23,MJWNZUXIXLDUET-UHFFFAOYSA-N
24,KTHTXLUIEAIGCD-UHFFFAOYSA-N
25,GDESWOTWNNGOMW-UHFFFAOYSA-N
26,VBWSXUUXOKHMJD-UHFFFAOYSA-N
27,YRCQSPCQYCXBJK-UHFFFAOYSA-N
28,ALWCMRHGQAVOLO-UHFFFAOYSA-N
29,RWQCKACYKKSOKK-AWEZNQCLSA-N
30,ALGCANUDXZUJPI-UHFFFAOYSA-N
31,AYESZYHFHWVQPL-UHFFFAOYSA-N
32,AYKUBRBGXZCNIT-UHFFFAOYSA-N
33,VKBCJIJGDJYNIP-UHFFFAOYSA-N
34,CJXVNKFUCUWLPA-UHFFFAOYSA-N
35,HBNJDBHDJUHLHN-UWVGGRQHSA-N
36,ZOOPONUAQQEUQX-UHFFFAOYSA-N
37,KEMPYSFDOHLRAH-SECBINFHSA-N
38,FXEYGOYVUJFORB-UHFFFAOYSA-N
39,JTTWNTXHFYNETH-UHFFFAOYSA-N
40,SVELGGXLWDUMTP-UHFFFAOYSA-N
41,HFDLDPJYCIEXJP-UHFFFAOYSA-N
42,XZXDYLQXLHULCZ-UHFFFAOYSA-N
43,GJOFSZBMCGLOJW-UHFFFAOYSA-N
44,YFHCSZFPVZJIIR-UHFFFAOYSA-N
45,XHNQRUZQXXYQSM-UHFFFAOYSA-N
46,ZJIOBDJEKDUUCI-UHFFFAOYSA-N
47,FYPLSFQGRMWGSB-UHFFFAOYSA-N
48,AWDOLDSJAALBNQ-UHFFFAOYSA-N
49,BCEYTKTWCUGURA-UHFFFAOYSA-N
50,BKHHCKCXZPUMQF-UHFFFAOYSA-N
51,ZVIVYHZFMIRJNN-GAJHUEQPSA-N
52,PNVRUIFACIJUKH-UHFFFAOYSA-N
53,OMGVVVBQKWNRQA-UHFFFAOYSA-N
54,YFYTWNOHDQIVKG-SNSGWHPASA-N
55,HRMRQBJUFWFQLX-UHFFFAOYSA-N
56,ZDXPYRJPNDTMRX-VKHMYHEASA-N
57,MBMUGXVHQNTFIN-UHFFFAOYSA-N
58,OQNXXSOKIYYHPZ-UHFFFAOYSA-N
59,SIOMCRORFPUYKB-UHFFFAOYSA-N
60,IOKLRUQDALYCPZ-UHFFFAOYSA-N
61,LUPMZLHUWOPKTH-KOMQPUFPSA-N
62,FRFQWRUPTGAKSW-UHFFFAOYSA-N
63,HQVKXDYSIGDGSY-QWWZWVQMSA-N
64,FTUFPWPQDCCWPZ-UHFFFAOYSA-N
65,IPUVFTXFSBXJFT-UHFFFAOYSA-N
66,XHXSHXZBPWFGPK-UHFFFAOYSA-N
67,YHKMUZNWZVUADW-UHFFFAOYSA-N
68,PYRLDVVMVBKTTQ-UHFFFAOYSA-N
69,VYHBNPXKBMVLKL-UHFFFAOYSA-N
70,UGBYCWDXJZBWMY-UHFFFAOYSA-N
71,RIHQXJOXJCGWRD-UHFFFAOYSA-N
72,KKSAKOOESQEBJR-NSHDSACASA-N
73,GIYKXTTUGRGLQC-SECBINFHSA-N
74,AIDVAZGOACECLJ-UHFFFAOYSA-N
75,DVZWARAGEKCJTH-UHFFFAOYSA-N
