,inchi_key
0,PDQNYPAJSAVURS-UHFFFAOYSA-N
1,WKPYRDRWTNJBQI-UHFFFAOYSA-N
2,BJEPADOWHRPLDU-UHFFFAOYSA-N
3,UMNRSYLSMHERFE-UHFFFAOYSA-N
4,CYQAPXIAEFXKPZ-UHFFFAOYSA-N
5,CWGRCRZFJOXQFV-UHFFFAOYSA-N
6,ZTOMEQDSCTWGAL-UHFFFAOYSA-N
7,KURVNRZOXBLXNM-UHFFFAOYSA-N
8,MOOWLEAEHQWMTJ-UHFFFAOYSA-N
9,DZYCPMJALSMMBK-UHFFFAOYSA-N
10,DIEPQNDMLNURIM-UHFFFAOYSA-N
11,LFIVFMAMROTIED-UHFFFAOYSA-N
12,RKGYNXZCUQESOH-UHFFFAOYSA-N
13,LQAVWYMTUMSFBE-UHFFFAOYSA-N
14,SYZVNGNTJHRUQI-UHFFFAOYSA-N
15,KWCVUWUJDCWGGM-UHFFFAOYSA-N
16,RXZGFWMEXSLJPY-UHFFFAOYSA-N
17,CCZCXFHJMKINPE-UHFFFAOYSA-N
18,UAPBKHCMTBMQFU-UHFFFAOYSA-N
19,SJUKJZSTBBSGHF-UHFFFAOYSA-N
20,YAIOKADNXGFBLP-UHFFFAOYSA-N
21,HTEPMXLKKDKDAQ-UHFFFAOYSA-N
22,YRKJOBRODOTMEC-UHFFFAOYSA-N
23,WOXHPHOZJMLUFE-UHFFFAOYSA-N
24,OBAMOEWHGHFJFE-UHFFFAOYSA-N
25,SJWKLNGMIHLOJX-UHFFFAOYSA-N
26,ODHSPTHLPCXPTL-UHFFFAOYSA-N
27,ITBZIIRMASQCRM-DTWKUNHWSA-N
28,LQNHRNOPWKZUSN-UHFFFAOYSA-N
29,QKONQSPVWNDJJQ-UHFFFAOYSA-N
30,LWJNFSSZELNRLR-UHFFFAOYSA-N
31,DGCOGZQDAXUUBY-UHFFFAOYSA-N
32,YNCWBJWZZDANDN-UHFFFAOYSA-N
33,LRRWZRBYXMUUNZ-UHFFFAOYSA-N
34,UCNWKFUNSYZDLL-INIZCTEOSA-N
35,LUMMJSJUSFGLRD-UHFFFAOYSA-N
36,RELPOLSGTUYMFR-UHFFFAOYSA-N
37,KPPPPESWUMWSKC-WUTVXBCWSA-N
38,AMUJAAISVPGDCR-UHFFFAOYSA-N
39,LIJLNDOVEPIKQX-UHFFFAOYSA-N
40,ITLZLAVSCCQCMS-UHFFFAOYSA-N
41,ZQDNAIBBLPKWJG-UHFFFAOYSA-N
42,NDFHJTBWIURJIG-UHFFFAOYSA-N
43,DBMXGOLAFUBSKY-FNORWQNLSA-N
44,PBDPTBBULZXKCH-UHFFFAOYSA-N
45,YLRBJYMANQKEAW-UHFFFAOYSA-N
46,RMIFLIVHJLREFJ-UHFFFAOYSA-N
47,PKDNEEZFQROQRV-UHFFFAOYSA-N
48,XRXFKTSMYJKSHA-UHFFFAOYSA-N
49,VSTYJUUKLPKNBX-UHFFFAOYSA-N
50,XADBTRUUOLHATC-UHFFFAOYSA-N
51,SALXSOUNYQHQGF-UHFFFAOYSA-N
52,WXTMDXOMEHJXQO-UHFFFAOYSA-N
53,CXPBPRMACUGTLS-UHFFFAOYSA-N
54,BQWBDYZMUCSEHK-UHFFFAOYSA-N
55,WDMYWDQCHKOKHF-UHFFFAOYSA-N
56,ONHMWUXYIFULDO-UHFFFAOYSA-N
57,DYVWOGCIQANCRE-UHFFFAOYSA-N
58,KMWDYQRZTJFIIS-UHFFFAOYSA-N
59,JLJNTSUZCLQLQP-UHFFFAOYSA-N
60,ORFNTJFFLLAJMW-UHFFFAOYSA-N
61,JIZKWCCYSTVNGS-UHFFFAOYSA-N
62,IIKVTJWRBSYRSA-UHFFFAOYSA-N
63,YEUYZNNBXLMFCW-UHFFFAOYSA-N
64,JXIPQISNNNUYJB-UHFFFAOYSA-N
65,LTUTXDJKDDTUQA-UHFFFAOYSA-N
66,SBRYFUVVWOMLLP-UHFFFAOYSA-N
67,NXPGNTBNGGDFFI-UHFFFAOYSA-N
