,inchi_key
0,CINTWGJQDJSXPJ-UHFFFAOYSA-N
1,FIEWLAOGHMAJCY-UHFFFAOYSA-N
2,DIUSGLJJHQEDSK-UHFFFAOYSA-N
3,DDAZLAPWOWQGKS-UHFFFAOYSA-N
4,IAOMYUZAXMFANI-UHFFFAOYSA-N
5,LULLGGWIEBUSRX-UHFFFAOYSA-N
6,AHJZAWIFZSBGKJ-UHFFFAOYSA-N
7,UCQUAMAQHHEXGD-UHFFFAOYSA-N
8,LBEOUEQPXMEXFO-UHFFFAOYSA-N
9,REYBWWAOXOFVEN-UHFFFAOYSA-N
10,RIUNZXNCMZMRMP-UHFFFAOYSA-N
11,CPWWIYCAAZEZNZ-DOTOQJQBSA-N
12,KQJNXPOOAZKGPM-UHFFFAOYSA-N
13,ASPIJZBMZUAQCL-UHFFFAOYSA-N
14,FBEWHEIETIERBV-UHFFFAOYSA-N
15,GMUBLMSOVHRKLE-UHFFFAOYSA-N
16,VFFMJRKRGHCINU-UHFFFAOYSA-N
17,BQLHMMQUVJCTAN-UHFFFAOYSA-N
18,AUNUMGOMVUGJFB-ZETCQYMHSA-N
19,BLCAJONGZASIKZ-UHFFFAOYSA-N
20,OFSNMVXAGPOBDU-UHFFFAOYSA-N
21,NYXOBVVHJZENCO-XYPYZODXSA-N
22,XENBHIZWBGPKCO-UHFFFAOYSA-N
23,KWUPMEOIOOHJCN-GJZGRUSLSA-N
24,OEDUIFSDODUDRK-UHFFFAOYSA-N
25,HDNCEUNJWJHWMO-UHFFFAOYSA-N
26,NRPMBSHHBFFYBF-UHFFFAOYSA-N
27,PUNANYNYFFURBC-GHTZIAJQSA-N
28,HFBMWMNUJJDEQZ-UHFFFAOYSA-N
29,COPHUROCEVYXDJ-UHFFFAOYSA-N
30,BNCPHGANYGXMHD-ZWKOTPCHSA-N
31,CZBRKVOXWIJSOM-UHFFFAOYSA-N
32,SKLMEGUUHGLRIS-UHFFFAOYSA-N
33,FEBCQOHEPVLTLY-UHFFFAOYSA-N
34,FPPBXCYWCIEQEP-ZHZULCJRSA-N
35,VMKVCEMKCJUVSY-UHFFFAOYSA-N
36,ZNRGSYUVFVNSAW-UHFFFAOYSA-N
37,OCWSFWFGNNNSSU-UHFFFAOYSA-N
38,XRRJINDUZOMAGW-UHFFFAOYSA-N
39,MXTMXUUXFUTMPF-NRFANRHFSA-N
40,JIXDOBAQOWOUPA-UHFFFAOYSA-N
41,ZNDURBMQEJRQKL-UHFFFAOYSA-N
42,MAQFCFYHXUCOMY-UHFFFAOYSA-N
43,XEOFTKWWAOSRPU-UHFFFAOYSA-N
44,NJJWMEJWFYRORL-UHFFFAOYSA-N
45,VUNPWIPIOOMCPT-UHFFFAOYSA-N
46,OHYZLVVWECFWBY-UHFFFAOYSA-N
47,KZUIZMXZHNIGLO-UHFFFAOYSA-N
48,HAMIVRMEQSSAPC-UHFFFAOYSA-N
49,YOVZWPNNJUPXON-UHFFFAOYSA-N
50,FFXVVIXBXBQZLL-UHFFFAOYSA-N
51,IVKSSGNMOYDMRT-UHFFFAOYSA-N
52,MZLSNIREOQCDED-UHFFFAOYSA-N
53,GOYPFNAZTPCXGS-UHFFFAOYSA-N
54,ZZPYHIKLGSHJRO-UHFFFAOYSA-N
55,QBUQSAMIIJLOLA-MBSDFSHPSA-N
56,AUMRNUZSJPVQRE-UHFFFAOYSA-N
57,VWZINROLVVODOZ-UHFFFAOYSA-N
58,CUTUSCCYCWQYPQ-UHFFFAOYSA-N
59,DDGNGFVNTZJMMZ-UHFFFAOYSA-N
60,IURSJORDCNZJFE-UHFFFAOYSA-N
61,CGRHPOHVJCYPAZ-UHFFFAOYSA-N
62,VSKXJRZPVDLHFY-UHFFFAOYSA-N
63,LSLQACOKGWGXFC-UHFFFAOYSA-N
64,MZUAHQPPVVUTCV-SWLSCSKDSA-N
65,IIHFNRCATWOJSQ-UHFFFAOYSA-N
66,NFNALRGUTGJYAQ-UHFFFAOYSA-N
67,KKLJITYHXALQDX-UHFFFAOYSA-N
68,PWOTYFZDXNEWDX-IBGZPJMESA-N
69,JJXPTUWJVQUHKN-UHFFFAOYSA-N
70,QWPLSFRRQYGYTD-UHFFFAOYSA-N
71,NTLIDELDKVKEFO-UHFFFAOYSA-N
72,LFEUVQDXFZYNLE-UHFFFAOYSA-N
73,LEMXGMUEKGWKPR-UHFFFAOYSA-N
74,PDJFRJFTKGLDDM-UHFFFAOYSA-N
75,CHPZYFXSICSCNY-UHFFFAOYSA-N
76,AHNDIFIJDQQBBB-UHFFFAOYSA-N
77,QEBXKEGQVWICJF-UHFFFAOYSA-N
78,YGLRELOCOJGNSO-UHFFFAOYSA-N
79,NCYAKOVWIQBPGN-UHFFFAOYSA-N
80,VAPZNOMCQCKZHJ-UHFFFAOYSA-N
81,ILDWXEHODJMPAI-UHFFFAOYSA-N
82,PJUKVPJMIFAKBL-UHFFFAOYSA-N
83,IHMAKGSXPLNBQF-SNVBAGLBSA-N
84,KYIYLQNLZYNVQY-UHFFFAOYSA-N
85,GNFKGFRWERSGIY-UHFFFAOYSA-N
86,CCZWSTFVHJPCEM-UHFFFAOYSA-N
87,IYMDWPOHHSIKCS-UHFFFAOYSA-N
88,SLJLTDHTJDUMOJ-UHFFFAOYSA-N
89,AYOKQWBPSUHEQU-UHFFFAOYSA-N
90,XGNRLKHIKYMJHI-UHFFFAOYSA-N
91,MQIIRJZOPZWYSN-UHFFFAOYSA-N
92,ZURHMXFGKUSFRZ-UHFFFAOYSA-N
93,WJKVHJABQKFXSU-UHFFFAOYSA-N
94,DEDKKOOGYIMMBC-UHFFFAOYSA-N
95,RTXNDTNDOHQMTI-UHFFFAOYSA-N
96,BSVIOYCZTJRBDB-UHFFFAOYSA-N
