Dataset,Model,Test set,Success rate,Top-1 accuracy,TED,Avg Route length
Small,RetroSynFormer50,N1,0.950,0.182,4.426,2.291
Small,RetroSynFormer50,N5,0.833,0.101,5.428,2.472
Small,AiZynthFinder,N1,0.923,0.223,4.065,2.343
Small,AiZynthFinder,N5,0.917,0.125,7.121,2.923
Standard,RetroSynFormer50,N1,0.924,0.106,5.584,2.337
Standard,RetroSynFormer50,N5,0.899,0.058,7.075,2.548
Standard,AiZynthFinder,N1,0.939,0.143,5.398,2.517
Standard,AiZynthFinder,N5,0.924,0.071,7.120,2.923
Large,RetroSynFormer50,N1,0.929,0.082,6.168,2.276
Large,RetroSynFormer50,N5,0.887,0.045,7.54,2.531
Large,AiZynthFinder,N1,0.939,0.115,6.112,2.538
Large,AiZynthFinder,N5,0.925,0.073,7.713,3.019
