study,dataset,trial,epochs,v_a_acc↑^,v_r_acc,state,heads*,layers*,h_dim,lr*,a_pdrop*,e_pdrop*,shared_r_drop*,r_pdrop*,n_state,fp,bw,obj_metric,es_pat,vset,eval_freq,bs,epoch,t_loss,t_a_acc,t_r_acc,v_loss,s/epch
large-23-layer,large,3,85,0.4187,0.1305,COMPLETE,3,27,256,3.70e-04,0.123,-,-,0.010,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   83,0.00725,0.49991,0.17634,0.05616, 329.1
large-24-26-layer,large,2,129,0.4139,0.1261,COMPLETE,3,24,256,2.50e-04,0.080,0.000,"{11.5: 1,...}",0.001,2,1024,1,valid_action_ac…,16,n1+n5,125,80,  112,0.00671,0.50506,0.18190,0.05608, 289.1
large-23-layer,large,0,110,0.3837,0.0993,COMPLETE,3,19,256,2.01e-04,0.122,-,-,0.007,2,1024,1,valid_action_ac…,16,n1+n5,125,80,  106,0.00840,0.44820,0.13244,0.05536, 235.0
large-emma-24-26_layer,large,2,121,0.3729,0.0903,COMPLETE,-,24,256,5.47e-04,0.120,0.000,-,0.001,2,1024,1,valid_action_ac…,10,n1+n5,25,128,  109,0.00645,0.44867,0.12674,0.04745, 472.5
large-23-layer,large,4,85,0.3701,0.0864,COMPLETE,4,27,256,1.13e-03,0.125,-,-,0.001,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   81,0.00615,0.43655,0.11666,0.04422, 527.6
large-24-26-layer,large,0,110,0.3552,0.0833,COMPLETE,2,24,256,5.53e-04,0.001,0.036,"{11.5: 1,...}",0.024,2,1024,1,valid_action_ac…,16,n1+n5,125,80,  105,0.00679,0.40258,0.09575,0.05021, 990.0
large-emma-24-26_layer,large,0,25,0.3444,0.0705,RUNNING,-,24,256,5.99e-04,0.126,0.001,-,0.014,2,1024,1,valid_action_ac…,10,n1+n5,25,128,   24,0.01055,0.40114,0.09726,0.05217, 477.6
large-23-layer,large,5,70,0.3387,0.0593,FAIL,5,27,256,1.06e-03,0.128,-,-,0.006,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   63,0.00624,0.39810,0.08171,0.04146, 728.5
large-nonuniform-dropout-12-layers,large,0,100,0.3384,0.0776,COMPLETE,-,-,128,1.74e-03,0.182,0.023,[0 ... 0],0.037,2,1024,1,valid_action_ac…,15,n1+n5,25,512,   96,0.01055,0.35095,0.07506,0.05108, 121.1
large-nonuniform-dropout-12-layers,large,1,100,0.3370,0.0772,COMPLETE,-,-,128,1.85e-03,0.185,0.014,[0 ... 0],0.062,2,1024,1,valid_action_ac…,15,n1+n5,25,512,   96,0.01037,0.35387,0.07548,0.05018, 121.2
large-23-layer,large,1,35,0.3356,0.0690,COMPLETE,4,19,256,2.56e-04,0.130,-,-,0.005,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   31,0.01193,0.38835,0.09061,0.05734, 376.3
large-23-layer,large,2,85,0.3337,0.0581,COMPLETE,5,19,256,3.87e-04,0.122,-,-,0.007,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   84,0.00672,0.39012,0.07700,0.04499, 523.1
large-24-26-layer,large,1,154,0.3314,0.0696,COMPLETE,2,24,256,1.67e-04,0.025,0.013,{1: 0},0.204,2,1024,1,valid_action_ac…,16,n1+n5,125,80,  137,0.01028,0.35865,0.07345,0.05050, 269.8
large-24-26-layer,large,3,49,0.3257,0.0628,COMPLETE,3,24,256,1.96e-03,0.002,0.000,{1: 0},0.022,2,1024,1,valid_action_ac…,16,n1+n5,125,80,   47,0.00618,0.37066,0.07588,0.04041, 291.2
large-emma-24-26_layer,large,1,34,0.3252,0.0621,FAIL,-,26,256,6.04e-04,0.126,0.043,-,0.004,2,1024,1,valid_action_ac…,10,n1+n5,25,128,   26,0.01190,0.35068,0.06759,0.04900, 509.0
large-emma-24-26_layer,large,3,18,0.2934,0.0446,FAIL,-,26,256,2.64e-03,0.122,0.000,-,0.004,2,1024,1,valid_action_ac…,10,n1+n5,25,128,   17,0.00919,0.33840,0.05793,0.04576, 509.6
large-nonuniform-dropout-12-layers,large,2,37,0.2912,0.0613,COMPLETE,-,-,128,9.26e-04,0.161,0.045,[0 ... 0],0.074,2,1024,1,valid_action_ac…,15,n1+n5,25,512,   35,0.04927,0.30238,0.05999,0.08277, 117.1
large-23-layer-test2,large,0,1,0.2208,0.0387,COMPLETE,2,24,256,2.41e-04,0.004,0.002,"{11.5: 1,...}",0.003,2,1024,1,valid_action_ac…,16,n1+n5,125,80,    0,0.78880,0.16914,0.02821,0.54838,1296.9
large-23-layer-test,large,0,0,(no data),(no data),FAIL,2,24,256,2.87e-04,0.051,0.002,"{11.5: 1,...}",0.023,2,1024,1,valid_action_ac…,16,n1+n5,125,80,,,,,,
large-23-layer-test,-,1,0,(no data),(no data),FAIL,2,24,-,4.13e-04,0.008,0.000,-,0.221,-,-,-,-,-,-,-,-,,,,,,
large-23-layer-test2,large,1,0,(no data),(no data),RUNNING,2,24,256,1.80e-03,0.059,0.000,{1: 0},0.007,2,1024,1,valid_action_ac…,16,n1+n5,125,80,,,,,,
large-23-layer,-,6,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
