study,dataset,trial,epochs,v_a_acc↑^,v_r_acc,state,heads,layers,h_dim,drop,lr,shared_r_drop*,eval_freq,fp,n_state,vset,r_pdrop,es_pat,bw,bs,obj_metric,e_pdrop,a_pdrop,epoch,t_loss,t_a_acc,t_r_acc,v_loss,s/epch
small-nonuniform-dropout-101,small,0,50,0.3671,0.1283,COMPLETE,-,-,-,-,-,[0 ... 1],25,1024,2,n1+n5,0.087,15,1,512,valid_action_ac…,0.006,0.166,   47,0.02400,0.37979,0.12547,0.05280,  48.3
small-nonuniform-dropout-102,small,0,50,0.3640,0.1240,FAIL,-,-,-,-,-,[1 ... 0],25,1024,2,n1+n5,0.087,15,1,512,valid_action_ac…,0.006,0.166,   46,0.02495,0.37343,0.12131,0.05318,  47.5
small-nonuniform-dropout-101,small,1,50,0.3620,0.1246,COMPLETE,-,-,-,-,-,[1 ... 1],25,1024,2,n1+n5,0.087,15,1,512,valid_action_ac…,0.006,0.166,   47,0.02440,0.37469,0.12151,0.05230,  49.1
small-nonuniform-dropout,small,0,50,0.3619,0.1246,COMPLETE,-,-,-,-,-,[True ... True],25,1024,2,n1+n5,0.087,15,1,512,valid_route_acc…,0.006,0.166,   47,0.02440,0.37463,0.12145,0.05230,  49.1
small-nonuniform-dropout-101,small,2,30,0.3536,0.1194,COMPLETE,-,-,-,-,-,[0 ... 1],25,1024,2,n1+n5,0.087,15,1,512,valid_action_ac…,0.006,0.166,   29,0.04094,0.36936,0.12104,0.06892,  48.8
small_baseline,small,2,82,0.3453,0.1087,COMPLETE,1,3,256,0.238,3.32e-03,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,   57,0.02869,0.34523,0.10497,0.07419,   8.1
small-nonuniform-dropout,small,1,12,0.3357,0.1091,FAIL,-,-,-,-,-,[True ... True],25,1024,2,n1+n5,0.087,15,1,512,valid_route_acc…,0.006,0.166,   11,0.12008,0.34260,0.10920,0.13731,  49.0
small_baseline,small,5,30,0.3308,0.1069,FAIL,3,3,256,0.102,1.35e-02,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,   16,0.01424,0.33634,0.10122,0.04454,  23.4
small_baseline,small,3,153,0.3295,0.0977,COMPLETE,1,5,256,0.371,1.56e-03,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,  101,0.04098,0.32446,0.09241,0.07755,  11.5
small_baseline,small,0,34,0.2668,0.0703,COMPLETE,1,3,256,0.100,2.11e-01,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,    8,0.01873,0.25204,0.05964,0.05621,   9.3
small_baseline,small,4,31,0.2509,0.0608,COMPLETE,3,4,64,0.198,1.95e-01,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,   16,0.01574,0.23706,0.05242,0.05337,   8.9
small_baseline,small,1,6,0.2013,0.0418,COMPLETE,3,2,256,0.331,2.76e-01,-,100,1024,2,n1+n5,0.100,6,1,512,-,0.100,0.100,    7,0.03726,0.25971,0.06165,0.07308,  10.0
small-hypertune-paper,-,0,0,(no data),(no data),FAIL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
small-hypertune-paper,large,1,0,(no data),(no data),RUNNING,2,18,256,-,3.92e-03,-,100,1024,2,n1+n5,0,30,1,512,valid_route_acc…,0,0,,,,,,
